SR Tendulkar,India,23,463,452,41,18426,200,44.83,21367,86.23,49,96,20
KC Sangakkara,Sri Lanka,15,404,380,41,14234,169,41.98,18048,78.86,25,93,15
RT Ponting,Australia,17,375,365,39,13704,164,42.03,17046,80.39,30,82,20
ST Jayasuriya,Sri Lanka,22,445,433,18,13430,189,32.36,14725,91.2,28,68,34
DPMD Jayawardene,Sri Lanka,17,448,418,39,12650,144,33.37,16020,78.96,19,77,28
Inzamam-ul-Haq,Pakisthan,16,378,350,53,11739,137,39.52,15812,74.24,10,83,20
V Kohli,India,11,242,233,39,11609,183,59.84,12445,93.28,43,55,13
JH Kallis,South Africa,18,328,314,53,11579,139,44.36,15885,72.89,17,86,17
SC Ganguly,India,15,311,300,23,11363,183,41.02,15416,73.7,22,72,16
R Dravid,India,15,344,318,40,10889,153,39.16,15284,71.24,12,83,13
MS Dhoni,India,15,350,297,84,10773,183,50.57,12303,87.56,10,73,10
CH Gayle,West Indies,20,301,294,17,10480,215,37.83,12019,87.19,25,54,25
BC Lara,West Indies,17,299,289,32,10405,169,40.48,13086,79.51,19,63,16
TM Dilshan,Sri Lanka,17,330,303,41,10290,161,39.27,11933,86.23,22,47,11
Mohammad Yousuf,Pakisthan,12,288,273,40,9720,141,41.71,12942,75.1,15,64,15
AC Gilchrist,Australia,12,287,279,11,9619,172,35.89,9922,96.94,16,55,19
AB de Villiers,South Africa,13,228,218,39,9577,176,53.5,9473,101.09,25,53,7
M Azharuddin,India,15,334,308,54,9378,153,36.92,12669,74.02,7,58,9
PA de Silva,Sri Lanka,19,308,296,30,9284,145,34.9,11443,81.13,11,64,17
RG Sharma,India,12,221,214,32,8944,264,49.14,10063,88.88,28,43,13
Saeed Anwar,Pakisthan,14,247,244,19,8824,194,39.21,10938,80.67,20,43,15
S Chanderpaul,West Indies,17,268,251,40,8778,150,41.6,12408,70.74,11,59,6
Yuvraj Singh,India,17,304,278,40,8701,150,36.55,9924,87.67,14,52,18
DL Haynes,West Indies,16,238,237,28,8648,152,41.37,13707,63.09,17,57,13
