SL Malinga,Sri Lanka,13,79,79,284.5,1,2061,106,5/6,19.44,7.23,16.1,1,2
Shahid Afridi,Pakisthan,12,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
Shakib Al Hasan,Bangladesh,13,76,75,277.5,2,1894,92,5/20,20.58,6.81,18.1,3,1
Saeed Ajmal,Pakisthan,6,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
Umar Gul,Pakisthan,9,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
Rashid Khan,Afganisthan,4,45,45,171.0,1,1052,84,5/3,12.52,6.15,12.2,3,2
GH Dockrell,Ireland,9,73,69,221.2,1,1539,75,4/20,20.52,6.95,17.7,1,0
TG Southee,New Zealand,11,66,64,233.3,2,1954,75,5/18,26.05,8.36,18.6,0,1
Mohammad Nabi,Afganisthan,9,75,75,256.4,5,1839,69,4/10,26.65,7.16,22.3,3,0
KMDN Kulasekara,Sri Lanka,9,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0
BAW Mendis,Sri Lanka,6,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
SCJ Broad,England,8,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0
Imran Tahir,South Africa,6,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2
DW Steyn,South Africa,12,44,44,157.1,3,1068,61,4/9,17.5,6.79,15.4,2,0
Mohammad Amir,Pakisthan,10,48,48,175.4,5,1224,59,4/13,20.74,6.96,17.8,1,0
NL McCullum,New Zealand,9,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
KJ O'Brien,Ireland,11,90,51,150.3,0,1134,58,4/45,19.55,7.53,15.5,1,0
S Badree,West Indies,6,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0
CJ Jordan,England,5,43,43,151.3,0,1300,54,4/6,24.07,8.58,16.8,2,0
Mohammad Hafeez,Pakisthan,12,89,67,186.1,2,1226,54,4/10,22.7,6.58,20.6,1,0
Sohail Tanvir,Pakisthan,10,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0
RE van der Merwe,South Africa,10,43,42,149.1,1,938,54,4/35,17.37,6.28,16.5,1,0
WB Rankin,England,10,48,47,170.0,2,1138,53,3/16,21.47,6.69,19.2,0,0
PM Seelaar,NL,11,69,58,172.3,3,1190,53,4/19,22.45,6.89,19.5,1,0
R Ashwin,India,7,46,46,171.0,2,1193,52,4/8,22.94,6.97,19.7,2,0
DJ Bravo,West Indies,10,66,56,173.4,0,1470,52,4/28,28.26,8.46,20.0,2,0
YS Chahal,India,3,36,36,140.3,1,1139,52,6/25,21.9,8.1,16.2,2,1
Mustafizur Rahman,Bangladesh,4,37,37,135.1,3,1065,52,5/22,20.48,7.87,15.5,1,1
SP Narine,West Indies,7,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0
JJ Bumrah,India,3,42,42,153.1,5,1029,51,3/11,20.17,6.71,18.0,0,0
NLTC Perera,Sri Lanka,9,79,64,175.4,1,1628,51,3/24,31.92,9.26,20.6,0,0
GP Swann,England,4,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0
MJ Santner,New Zealand,4,39,38,128.5,1,928,49,4/11,18.93,7.2,15.7,1,0
SM Sharif,SCOT,7,42,41,143.5,0,1185,49,4/24,24.18,8.23,17.6,1,0
SR Watson,Australia,10,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0
M Morkel,South Africa,10,44,44,158.4,3,1191,47,4/17,25.34,7.5,20.2,2,0
IS Sodhi,New Zealand,5,40,39,138.3,0,1131,47,3/18,24.06,8.16,17.6,0,0
PA van Meekeren,NL,6,41,39,136.1,2,945,47,4/11,20.1,6.94,17.3,2,0
Shadab Khan,Pakisthan,2,38,36,135.3,1,948,46,4/14,20.6,6.99,17.6,1,0
Bilal Khan,OMAN,4,32,31,111.0,2,778,45,4/19,17.28,7.0,14.8,3,0
MRJ Watt,SCOT,4,35,33,125.0,2,903,45,5/27,20.06,7.22,16.6,0,1
Abdur Razzak,Bangladesh,8,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0
Ahsan Malik,NL,5,31,29,95.5,1,730,44,5/19,16.59,7.61,13.0,1,1
DJG Sammy,West Indies,10,68,59,152.4,0,1116,44,5/26,25.36,7.31,20.8,1,1
Mudassar Bukhari,NL,8,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0
