MS Dhoni,India,13,98,97,91,57,34,57
AB de Villiers,South Africa,11,78,78,72,65,7,21
D Ramdin,West Indies,13,71,71,63,43,20,43
Kamran Akmal,Pakisthan,11,58,58,60,28,32,28
Mushfiqur Rahim,Bangladesh,13,84,82,59,31,28,30
Mohammad Shahzad,Afganisthan,8,65,65,54,26,28,26
DA Miller,South Africa,9,72,72,52,51,1,1
Umar Akmal,Pakisthan,10,84,84,52,50,2,11
Shoaib Malik,Pakisthan,13,111,111,50,50,0,0
Q de Kock,South Africa,7,38,38,46,36,10,36
MJ Guptill,New Zealand,10,83,82,46,46,0,0
GC Wilson,Ireland,11,78,76,46,39,7,28
KC Sangakkara,Sri Lanka,8,56,56,45,25,20,25
Sarfaraz Ahmed,Pakisthan,9,58,58,45,35,10,35
BB McCullum,New Zealand,10,71,71,44,36,8,24
LRPL Taylor,New Zealand,13,95,95,44,44,0,0
DA Warner,Australia,10,76,76,43,43,0,0
SK Raina,India,12,78,78,42,42,0,0
Mohammad Nabi,Afganisthan,9,75,75,41,41,0,0
RG Sharma,India,12,104,104,38,38,0,0
LD Chandimal,Sri Lanka,8,54,54,37,32,5,15
V Kohli,India,9,75,75,37,37,0,0
EJG Morgan,England,10,86,86,37,37,0,0
GH Dockrell,Ireland,9,73,70,36,36,0,0
DJ Bravo,West Indies,10,66,66,35,35,0,0
JP Duminy,South Africa,12,81,81,35,35,0,0
KJ O'Brien,Ireland,11,90,86,34,34,0,0
KA Pollard,West Indies,11,68,68,34,34,0,0
MH Cross,SCOT,6,43,41,33,22,11,22
TM Dilshan,Sri Lanka,10,80,80,33,31,2,5
AD Hales,England,8,60,59,32,32,0,0
BN Cooper,NL,6,51,50,31,31,0,0
Mahmudullah,Bangladesh,12,83,81,31,31,0,0
DJG Sammy,West Indies,10,68,68,31,31,0,0
JM Bairstow,England,8,34,34,30,30,0,8
GJ Maxwell,Australia,7,61,60,30,30,0,0
NLTC Perera,Sri Lanka,9,79,79,30,30,0,0
L Ronchi,New Zealand,10,33,33,30,24,6,24
